Mike O'Brien,mikeobrienmp,Labour,,82162623,,,1910,,
Michael Weir,mikeweirmp,SNP,,130130031,,,1959,,
Michael Weir,mikeweirsnp,SNP,Angus,66444899,,,,,
Michael Moore,moore4borders,Liberal Democrats,"Berwickshire, Roxburgh and Selkirk",20622055,,,,,
Angus Robertson,moraymp,SNP,Moray,31373289,,,2002,,
Stephen Mosley,mp4chester,Conservative,City of Chester,223552246,,,,,
Nadhim Zahawi,nadhimzahawi,Conservative,Stratford-on-Avon,121127090,,,,,
Naomi Long,naomi_long,Alliance Party,Belfast East,97452095,,,,,
Nicholas Dakin,nicdakinmp,Labour,Scunthorpe,93860818,,,,,
Nicholas Clegg,nick_clegg,Liberal Democrats,"Sheffield, Hallam",15010349,,,1812,,
Nick de Bois,nickdebois,Conservative,Enfield North,20356313,,,,,
Nick Herbert,nickherbertmp,Conservative,Arundel and South Downs,111013369,,,,,
Nick Hurd,nickhurdmp,Conservative,Ruislip - Northwood,130085607,,,,,
Nick Palmer,nickpalmermp,Labour,,65433010,,,1462,,
Nick Smith,nicksmith4bg,Labour,Blaenau Gwent,124152473,,,,,
Nicky Morgan,nickymorgan01,Conservative,Loughborough,34940114,,,,,
Nicola Blackwood,nicolablackwood,Conservative,Oxford West and Abingdon,60585651,,,,,
Nigel Dodds,nigeldoddsmp,DUP,Belfast North,104845115,,,,,
Norman Lamb,normanlamb,Liberal Democrats,North Norfolk,19973305,,,1736,,
Pamela Nash,pamela_nash,Labour,Airdrie and Shotts,81367969,,,,,
Parmjit Dhanda,parmjitdhanda,Labour,,50687314,,,1595,,
Pat McFadden,patmcfaddenmp,Labour,Wolverhampton South East,25091518,,,1936,,
Paul Burstow,paulburstow,Liberal Democrats,Sutton and Cheam,27850283,,,,,
Paul Flynn,paulflynnmp,Labour,Newport West,84563846,,,,,
Pauline Latham,pauline_latham,Conservative,Mid Derbyshire,19087569,,,,,
Paul Rowen,paulrowen,Liberal Democrats,,22004278,,,1784,,
Peter Hain,peterhain,Labour,Neath,6364652,,,1723,,
Peter Luff,peterjluff,Conservative,Mid Worcestershire,113585486,,,,,
Peter Lilley,peterlilleymp,Conservative,,41576493,,,1638,,
Pete Wishart,petewishart,SNP,Perth and Perthshire North,276868661,,,2009,,
Philip Davies,philipdavies422,Conservative,Shipley,117449724,,,,,
Philip Davies,philipdaviesmp,Conservative,Shipley,125312818,,,,,
Richard Harrington,richard4watford,Conservative,Watford,60738400,,,,,
Richard Benyon,richardbenyonmp,Conservative,Newbury,119074643,,,,,
Roberta Blackman-Woods,robertabw,Labour,"Durham, City of",173089105,,,,,
Robert Buckland,robertbuckland,Conservative,South Swindon,14284260,,,,,
Rob Wilson,robwilson_rdg,Conservative,Reading East,34244239,,,,,
